# n i_octree ikd pcl_octree
0 29.4239998 98.3820038 107.0619965 
1 0.9440000 2.2930000 2.2449999 
2 0.7380000 2.0020001 0.7710000 
3 0.7640000 1.9640000 0.7680000 
4 0.8380000 2.0190001 0.8190000 
5 0.7740000 2.0980000 0.7910000 
6 0.7560000 2.1170001 1.0100000 
7 0.8070000 1.9880000 0.9100000 
8 0.8060000 1.9760000 0.9070000 
9 0.8210000 1.9850000 0.8800000 
10 0.8110000 1.9970000 0.9080000 
11 0.8630000 2.0050001 0.8800000 
12 0.8420000 2.0710001 0.8750000 
13 0.8540000 1.9790000 0.8690000 
14 0.8570000 2.0380001 0.9050000 
15 0.8340000 2.0910001 0.9090000 
16 0.8510000 2.0980000 0.8810000 
17 0.8320000 2.0960000 0.8680000 
18 0.8590000 2.1540000 0.9000000 
19 0.8930000 2.1480000 0.8810000 
20 0.8700000 2.1600001 0.8810000 
21 0.8740000 2.2320001 0.8830000 
22 0.8640000 2.2460001 0.8820000 
23 0.8690000 2.2279999 0.9070000 
24 0.8610000 2.2110000 0.9180000 
25 0.8560000 2.2570000 0.9220000 
26 0.8750000 2.2709999 0.9550000 
27 0.8880000 2.3610001 0.9320000 
28 0.8920000 2.3520000 0.9470000 
29 0.9300000 2.2890000 0.9490000 
30 0.9100000 2.2639999 0.9260000 
31 0.9190000 2.3550000 0.9200000 
32 0.8970000 2.3789999 0.9060000 
33 0.8920000 2.3540001 0.9030000 
34 0.9000000 2.3590000 0.8930000 
35 0.8950000 2.4310000 0.9000000 
36 0.9020000 2.4380000 0.8960000 
37 0.8990000 2.4180000 0.9010000 
38 0.8930000 2.4349999 0.8970000 
39 0.9130000 2.4579999 0.9180000 
40 0.9280000 2.5109999 0.9960000 
41 0.9520000 2.4590001 0.9530000 
42 0.9270000 2.4330001 0.9280000 
43 0.9420000 2.4640000 0.9330000 
44 0.9450000 2.5309999 0.9160000 
45 0.9600000 2.5369999 0.9050000 
46 0.9310000 2.4870000 0.9410000 
47 0.9370000 2.4219999 0.9120000 
48 0.9080000 2.5750000 0.9030000 
49 0.9110000 2.5810001 0.9520000 
50 0.9490000 2.5390000 0.9360000 
51 0.9310000 2.5190001 0.9270000 
52 0.9410000 2.6380000 0.9290000 
53 0.9480000 2.5940001 0.9200000 
54 0.9550000 2.5120001 0.9220000 
55 0.9060000 2.5790000 0.9170000 
56 0.8970000 2.4930000 0.9070000 
57 0.8910000 2.5580001 0.9410000 
58 0.9780000 2.5469999 0.9350000 
59 0.9700000 2.7560000 0.9320000 
60 0.9660000 2.6840000 0.9350000 
61 0.9630000 2.7030001 0.9290000 
62 0.9230000 2.6710000 0.9020000 
63 0.9770000 2.7300000 0.9760000 
64 0.9740000 2.6789999 0.9660000 
65 0.9640000 2.6530001 0.9430000 
66 0.9600000 2.7019999 0.9350000 
67 0.9600000 2.7330000 0.9080000 
68 0.9420000 2.7750001 0.9770000 
69 0.9610000 2.6840000 0.9730000 
70 0.9820000 2.7300000 0.9490000 
71 0.9760000 2.8039999 0.9180000 
72 0.9510000 2.7360001 0.9230000 
73 0.9540000 2.7430000 0.9580000 
74 0.9450000 2.7660000 0.9490000 
75 0.9630000 2.7330000 0.9370000 
76 0.9560000 2.7100000 0.9090000 
77 0.9440000 2.7449999 0.9140000 
78 0.9150000 2.7019999 0.9090000 
79 0.9120000 2.8450000 0.9560000 
80 0.9640000 2.7590001 0.9360000 
81 0.9580000 2.7440000 0.9230000 
82 0.9330000 2.6930001 0.9120000 
83 0.9290000 2.7340000 0.9130000 
84 0.9240000 2.7570000 0.9670000 
85 0.9520000 2.8290000 0.9380000 
86 0.9610000 2.8360000 0.9290000 
87 0.9550000 2.7850001 0.9140000 
88 0.9260000 2.8420000 0.9450000 
89 0.9470000 2.9119999 0.9710000 
90 0.9590000 2.8230000 0.9340000 
91 0.9370000 2.8480000 0.9250000 
92 0.9700000 2.8810000 0.9240000 
93 0.9340000 2.9210000 0.9970000 
94 0.9800000 2.8199999 0.9320000 
95 0.9900000 2.8889999 0.9300000 
96 0.9800000 2.9100001 0.9440000 
97 1.0080000 3.0209999 0.9550000 
98 0.9980000 3.0020001 0.9640000 
99 1.0000000 2.9930000 1.0230000 
100 1.0250000 3.0850000 1.0750000 
