# n i_octree ikd pcl_octree
1 0.3859999 0.5820000 2.4830005 
2 0.3150000 0.5149997 2.5950000 
3 0.2960000 0.5129998 2.6339996 
4 0.3060000 0.5170000 2.5830014 
5 0.3499998 0.5539999 2.6770010 
6 0.3120000 0.5179999 2.5510008 
7 0.3399999 0.5359999 2.6559994 
8 0.3400000 0.5209998 2.5820003 
9 0.3470000 0.5360000 2.5840008 
10 0.3759999 0.5629998 2.5850005 
11 0.3459999 0.5300000 2.5819998 
12 0.3370000 0.5269996 2.6310000 
13 0.3749999 0.5599999 2.5829999 
14 0.3489999 0.5279997 2.5290010 
15 0.3600000 0.5229999 2.6100011 
16 0.4029998 0.5819999 2.6450002 
17 0.4139999 0.5779998 2.6819999 
18 0.3749999 0.5529997 2.6080000 
19 0.3979998 0.5449999 2.5950003 
20 0.4099998 0.5529998 2.6870003 
21 0.3959998 0.5450000 2.5940006 
22 0.4109999 0.5750000 2.6060004 
23 0.4129998 0.5790000 2.6150005 
24 0.4069998 0.5649998 2.5960009 
25 0.4169998 0.5859997 2.6060002 
26 0.3970002 0.5530000 2.6420012 
27 0.4169998 0.5559999 2.6360009 
28 0.4209999 0.5780001 2.6180015 
29 0.4329998 0.5849997 2.7120001 
30 0.4279998 0.5770000 2.6060004 
31 0.3889998 0.5399998 2.5220001 
32 0.4019999 0.5499998 2.5740008 
33 0.4429999 0.5829999 2.5709999 
34 0.4339999 0.5779998 2.6769993 
35 0.4669998 0.5950001 2.6210015 
36 0.4459999 0.5950000 2.5490012 
37 0.4629997 0.5949998 2.7000003 
38 0.4449999 0.6180000 2.6550009 
39 0.4389999 0.6190003 2.5729995 
40 0.4319999 0.5829999 2.5919988 
41 0.4719998 0.6319999 2.6800005 
42 0.4549999 0.5850000 2.5809996 
43 0.4519998 0.6199998 2.7210011 
44 0.4379999 0.5939999 2.5590003 
45 0.4139999 0.5850001 2.5220001 
46 0.4619999 0.6039998 2.6220012 
47 0.4679998 0.6069999 2.6960003 
48 0.4569998 0.5930001 2.5569999 
49 0.4389998 0.5880001 2.6330006 
50 0.4449997 0.6209999 2.5580003 
51 0.4699999 0.6320001 2.6999996 
52 0.4619999 0.6269997 2.6720014 
53 0.4229999 0.5909999 2.5800002 
54 0.4329998 0.6170000 2.5819988 
55 0.4529999 0.6380001 2.5910008 
56 0.4379998 0.6280001 2.6080000 
57 0.4489998 0.5960001 2.6500003 
58 0.4379998 0.6049997 2.6060002 
59 0.4369998 0.6200001 2.5720000 
60 0.4319997 0.5940000 2.6060002 
61 0.4789998 0.6579999 2.7549996 
62 0.4399997 0.6020001 2.6950009 
63 0.4709999 0.6409999 2.6280005 
64 0.4449998 0.6139998 2.5879998 
65 0.4489999 0.6230001 2.5740006 
66 0.4279999 0.6069998 2.6050003 
67 0.4659999 0.6450000 2.6910002 
68 0.4159998 0.6039999 2.5860004 
69 0.4359997 0.6329998 2.6030009 
70 0.4669999 0.6300001 2.6800001 
71 0.4669999 0.6400001 2.5980005 
72 0.4399999 0.6299999 2.5910003 
73 0.4510000 0.6240000 2.6000006 
74 0.4389998 0.6310002 2.6630006 
75 0.4319997 0.6349999 2.6020002 
76 0.4340000 0.6270002 2.6700008 
77 0.4539998 0.6300001 2.7220013 
78 0.4299999 0.6480001 2.6760006 
79 0.4439999 0.6680000 2.6890008 
80 0.4619998 0.6399997 2.6940014 
81 0.4469999 0.6600002 2.6200013 
82 0.4419999 0.6470002 2.5460002 
83 0.4679999 0.6429999 2.6760011 
84 0.4519999 0.6630000 2.7250004 
85 0.4349998 0.6509999 2.6470001 
86 0.4589998 0.6679998 2.5799994 
87 0.4529997 0.6649999 2.6589994 
88 0.4349999 0.6320000 2.5309997 
89 0.4509999 0.6330000 2.6199994 
90 0.4319997 0.6550000 2.6939998 
91 0.4549998 0.6790000 2.6110008 
92 0.4079998 0.6210001 2.6450012 
93 0.4559997 0.6710002 2.6390004 
94 0.4409999 0.6560000 2.5969999 
95 0.4379999 0.6750001 2.6220002 
96 0.4399997 0.6840001 2.6430008 
97 0.4730000 0.6739999 2.6400006 
98 0.4720001 0.6890001 2.6299999 
99 0.4569998 0.6650001 2.5730019 
100 0.4509999 0.6460001 2.6550012 
