# n  i_octree ikd pcl_octree
1 0.7430003 1.8619988 5.0370007 
2 0.7040004 1.7969989 5.2050009 
3 0.7430003 1.8329984 5.2320004 
4 0.7660002 1.8059988 5.1190014 
5 0.7630001 1.8029988 5.0590010 
6 0.7590004 1.8209993 5.1800003 
7 0.8120003 1.8159992 5.1530013 
8 0.8730002 1.9039997 5.2700005 
9 0.8610003 1.9109994 5.2819996 
10 0.8490005 1.8499993 5.2349997 
11 0.9410001 1.9429996 5.3740001 
12 0.9240003 1.9349998 5.3720026 
13 0.9530002 2.0079992 5.4239993 
14 0.9470003 1.9479995 5.3900013 
15 1.0050004 2.0229998 5.4060020 
16 0.9540001 1.9879997 5.4209995 
17 0.9840001 1.9970001 5.3579979 
18 1.0160002 2.0409997 5.4679976 
19 1.0140002 2.0289996 5.4770007 
20 1.0250000 2.0430002 5.4870014 
21 1.0580001 2.0440001 5.5420003 
22 1.0410001 2.0549998 5.5399985 
23 1.0450001 2.0700002 5.5419989 
24 1.0750002 2.0969999 5.5370007 
25 1.0940001 2.1190002 5.5690017 
26 1.1190001 2.1669998 5.6490002 
27 1.1010003 2.1749997 5.5980005 
28 1.0859997 2.1480007 5.5350008 
29 1.0720003 2.0990000 5.6200013 
30 1.1480005 2.2020001 5.7840023 
31 1.1360000 2.1670001 5.6589994 
32 1.1620004 2.2139997 5.7839999 
33 1.1600001 2.2300003 5.7209992 
34 1.2640005 2.3460009 5.8820004 
35 1.1670002 2.2510006 5.7729998 
36 1.1550002 2.1900003 5.7660022 
37 1.1750007 2.2090008 5.8020000 
38 1.1819998 2.2890000 5.9090014 
39 1.2300006 2.3220000 5.8089995 
40 1.2210007 2.3920009 5.9659991 
41 1.2100002 2.3970013 5.9150014 
42 1.1770005 2.3190002 5.8710008 
43 1.1930001 2.3700006 5.9920015 
44 1.2390003 2.3750010 5.9650002 
45 1.2279999 2.3770008 5.9109988 
46 1.2230005 2.4350009 6.0110016 
47 1.2250000 2.4160008 5.9570012 
48 1.2300003 2.3950012 5.9930000 
49 1.2250001 2.4520006 6.1180010 
50 1.2540002 2.4890020 6.1550002 
51 1.2620006 2.5160017 6.0730004 
52 1.2540002 2.4740007 6.0320015 
53 1.2370005 2.5000017 6.1500001 
54 1.2160002 2.4660010 6.0160012 
55 1.2950006 2.5530026 6.1500025 
56 1.2480001 2.5360012 6.0440011 
57 1.2600003 2.5740006 6.1830001 
58 1.2680002 2.5640013 6.1389999 
59 1.3440002 2.6430013 6.3100004 
60 1.3360002 2.6750019 6.4179969 
61 1.4309999 2.7720017 6.8559957 
62 1.2900000 2.5710027 6.2429986 
63 1.3820009 2.6870010 6.3899984 
64 1.2810003 2.6150005 6.2569985 
65 1.2820004 2.6410019 6.2649980 
66 1.2730008 2.6730015 6.3669972 
67 1.2390004 2.6180019 6.2409997 
68 1.2950007 2.6680000 6.3059993 
69 1.2610002 2.6370010 6.2750010 
70 1.2730007 2.6910021 6.4419975 
71 1.3020004 2.7690022 6.4309998 
72 1.3470006 2.8330014 6.4319992 
73 1.3380007 2.7520027 6.4810004 
74 1.2930001 2.7680013 6.5689974 
75 1.3870001 2.9349992 7.0089993 
76 1.3820006 2.8690007 7.0609975 
77 1.4199998 2.8900008 7.1289992 
78 1.4450003 2.9630013 7.1929975 
79 1.4350008 2.9650011 7.0710006 
80 1.3610002 2.8910012 6.6719980 
81 1.2770004 2.8810012 6.5649986 
82 1.3600006 2.8840008 6.5999994 
83 1.3490001 2.9790008 6.6939983 
84 1.3580003 2.9400008 6.7779994 
85 1.3230006 2.9160013 6.6729975 
86 1.3610001 2.9840016 6.6969991 
87 1.3470007 2.9649992 6.7059989 
88 1.3520006 3.0270007 6.8059988 
89 1.4030004 3.0490010 6.8919997 
90 1.3020002 2.9580009 6.6779990 
91 1.3760005 3.1099989 6.8579965 
92 1.3780006 3.0650010 6.8369961 
93 1.4140004 3.1369991 6.9509978 
94 1.3320004 2.9989998 6.7769971 
95 1.3789997 3.1029992 6.8609977 
96 1.3690002 3.1029990 6.8799953 
97 1.3550007 3.1130006 6.9370008 
98 1.4010003 3.1949999 6.9119959 
99 1.3830001 3.1809995 6.9169970 
100 1.3870004 3.2000003 6.9999995 
